pi@ubuntu:~/swarm-ros$ tail -n 600 /home/pi/.pm2/logs/ai-flight-error.log 
[INFO] [1760434485.909507315] [ai_flight_node]: [tick 003525] /ai/action -> vx=+0.455, vy=-0.239, vz=+0.421, speed=+0.428   [24.29 ms]
[INFO] [1760434486.011053356] [ai_flight_node]: [tick 003526] /ai/action -> vx=+0.455, vy=-0.239, vz=+0.421, speed=+0.428   [26.07 ms]
[INFO] [1760434486.109204074] [ai_flight_node]: [tick 003527] /ai/action -> vx=+0.457, vy=-0.238, vz=+0.420, speed=+0.428   [24.06 ms]
[INFO] [1760434486.209558775] [ai_flight_node]: [tick 003528] /ai/action -> vx=+0.457, vy=-0.238, vz=+0.420, speed=+0.429   [24.20 ms]
[INFO] [1760434486.312146418] [ai_flight_node]: [tick 003529] /ai/action -> vx=+0.454, vy=-0.260, vz=+0.421, speed=+0.426   [27.19 ms]
[INFO] [1760434486.411263738] [ai_flight_node]: [tick 003530] /ai/action -> vx=+0.455, vy=-0.259, vz=+0.421, speed=+0.427   [26.27 ms]
[INFO] [1760434486.513191961] [ai_flight_node]: [tick 003531] /ai/action -> vx=+0.456, vy=-0.259, vz=+0.421, speed=+0.427   [28.11 ms]
[INFO] [1760434486.610632740] [ai_flight_node]: [tick 003532] /ai/action -> vx=+0.457, vy=-0.258, vz=+0.420, speed=+0.427   [25.39 ms]
[INFO] [1760434486.709895944] [ai_flight_node]: [tick 003533] /ai/action -> vx=+0.457, vy=-0.258, vz=+0.420, speed=+0.426   [24.73 ms]
[INFO] [1760434486.802555063] [ai_flight_node]: [tick 003534] /ai/action -> vx=+0.458, vy=-0.258, vz=+0.420, speed=+0.426   [16.41 ms]
[INFO] [1760434486.910408317] [ai_flight_node]: [tick 003535] /ai/action -> vx=+0.459, vy=-0.257, vz=+0.419, speed=+0.427   [25.38 ms]
[INFO] [1760434487.009876571] [ai_flight_node]: [tick 003536] /ai/action -> vx=+0.459, vy=-0.257, vz=+0.419, speed=+0.427   [24.42 ms]
[INFO] [1760434487.112078176] [ai_flight_node]: [tick 003537] /ai/action -> vx=+0.460, vy=-0.257, vz=+0.418, speed=+0.427   [27.11 ms]
[INFO] [1760434487.210460348] [ai_flight_node]: [tick 003538] /ai/action -> vx=+0.460, vy=-0.256, vz=+0.418, speed=+0.427   [25.37 ms]
[INFO] [1760434487.309681781] [ai_flight_node]: [tick 003539] /ai/action -> vx=+0.460, vy=-0.256, vz=+0.418, speed=+0.427   [24.26 ms]
[INFO] [1760434487.412152809] [ai_flight_node]: [tick 003540] /ai/action -> vx=+0.462, vy=-0.256, vz=+0.418, speed=+0.427   [27.19 ms]
[INFO] [1760434487.512255065] [ai_flight_node]: [tick 003541] /ai/action -> vx=+0.462, vy=-0.256, vz=+0.417, speed=+0.427   [27.22 ms]
[INFO] [1760434487.612596171] [ai_flight_node]: [tick 003542] /ai/action -> vx=+0.462, vy=-0.256, vz=+0.417, speed=+0.427   [27.61 ms]
[INFO] [1760434487.710027730] [ai_flight_node]: [tick 003543] /ai/action -> vx=+0.463, vy=-0.255, vz=+0.417, speed=+0.427   [24.97 ms]
[INFO] [1760434487.809880041] [ai_flight_node]: [tick 003544] /ai/action -> vx=+0.460, vy=-0.276, vz=+0.418, speed=+0.425   [24.92 ms]
